status,circuit_depth,circuit_width,circuit_size,circuit_count_ops,num_qubits,num_clbits,num_ancillas,num_parameters,has_calibrations,has_layout,payload_size,num_gates,execution_type,experiment_type,counts,success_rate,iteration
completed,25,13,61,"{""h"": 18, ""cx"": 13, ""x"": 6, ""z"": 6, ""barrier"": 6, ""sdg"": 5, ""s"": 5, ""measure"": 5, ""y"": 2, ""cz"": 1}",8,5,0,0,False,False,5,15,simulation,fixed_payload_experiments,"{""00000"": 1024}",1.0,6
completed,25,13,61,"{""h"": 14, ""cx"": 13, ""sdg"": 8, ""z"": 8, ""s"": 8, ""barrier"": 6, ""measure"": 5, ""y"": 4, ""cz"": 1}",8,5,0,0,False,False,5,15,simulation,fixed_payload_experiments,"{""00000"": 1024}",1.0,7
completed,25,13,61,"{""h"": 14, ""cx"": 13, ""z"": 8, ""y"": 8, ""x"": 6, ""barrier"": 6, ""measure"": 5, ""sdg"": 3, ""s"": 3, ""cz"": 1}",8,5,0,0,False,False,5,15,simulation,fixed_payload_experiments,"{""00000"": 1024}",1.0,8
completed,25,13,61,"{""h"": 20, ""cx"": 13, ""z"": 8, ""y"": 8, ""barrier"": 6, ""measure"": 5, ""x"": 4, ""sdg"": 1, ""cz"": 1, ""s"": 1}",8,5,0,0,False,False,5,15,simulation,fixed_payload_experiments,"{""00000"": 1024}",1.0,9
completed,25,13,61,"{""h"": 18, ""cx"": 13, ""y"": 8, ""barrier"": 6, ""measure"": 5, ""x"": 4, ""sdg"": 4, ""s"": 4, ""z"": 4, ""cz"": 1}",8,5,0,0,False,False,5,15,simulation,fixed_payload_experiments,"{""00000"": 1024}",1.0,10
completed,25,13,61,"{""h"": 14, ""z"": 14, ""cx"": 13, ""sdg"": 7, ""s"": 7, ""barrier"": 6, ""measure"": 5, ""cz"": 1}",8,5,0,0,False,False,5,15,simulation,fixed_payload_experiments,"{""00000"": 1024}",1.0,11
completed,25,13,61,"{""h"": 16, ""cx"": 13, ""y"": 8, ""barrier"": 6, ""sdg"": 5, ""s"": 5, ""measure"": 5, ""x"": 4, ""z"": 4, ""cz"": 1}",8,5,0,0,False,False,5,15,simulation,fixed_payload_experiments,"{""00000"": 1024}",1.0,12
completed,25,13,61,"{""h"": 18, ""cx"": 13, ""z"": 8, ""x"": 6, ""y"": 6, ""barrier"": 6, ""measure"": 5, ""sdg"": 2, ""s"": 2, ""cz"": 1}",8,5,0,0,False,False,5,15,simulation,fixed_payload_experiments,"{""00000"": 1024}",1.0,13
completed,25,13,61,"{""h"": 22, ""cx"": 13, ""z"": 6, ""barrier"": 6, ""measure"": 5, ""x"": 4, ""y"": 4, ""s"": 3, ""sdg"": 3, ""cz"": 1}",8,5,0,0,False,False,5,15,simulation,fixed_payload_experiments,"{""00000"": 1024}",1.0,14
completed,25,13,61,"{""h"": 16, ""cx"": 13, ""x"": 6, ""z"": 6, ""barrier"": 6, ""s"": 5, ""sdg"": 5, ""measure"": 5, ""y"": 4, ""cz"": 1}",8,5,0,0,False,False,5,15,simulation,fixed_payload_experiments,"{""00000"": 1024}",1.0,15
completed,25,13,61,"{""h"": 14, ""cx"": 13, ""y"": 6, ""s"": 6, ""sdg"": 6, ""z"": 6, ""barrier"": 6, ""measure"": 5, ""x"": 4, ""cz"": 1}",8,5,0,0,False,False,5,15,simulation,fixed_payload_experiments,"{""00000"": 1024}",1.0,16
